--- Absolute Best Parameters ---
Initial SNR: -1.7539 dB
Initial MSE: 0.7488 dB

LMS:
Best SNR: 24.6129 dB
Best MSE: 0.5015 dB
SNR Improvment: 26.3668 dB
MSE Improvment: 0.2473 
Filter Length: 1
Optimal mu: 0.0150

NLMS:
Best SNR: 23.2886 dB
Best MSE: 0.5020 dB
SNR Improvment: 25.0425 dB
MSE Improvment: 0.2468 
Filter Length: 1
Optimal mu: 0.0050

RLS:
Best SNR: 40.7195 dB
Best MSE: 0.5001 dB
SNR Improvment: 42.4734 dB
MSE Improvment: 0.2487 
Filter Length: 1
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              24.6129                  0.0150                   
2              23.1065                  0.0100                   
3              22.2602                  0.0075                   
4              21.5772                  0.0050                   
5              21.1648                  0.0050                   
6              20.7924                  0.0050                   
8              20.1369                  0.0050                   
10             19.5626                  0.0050                   
12             19.0523                  0.0050                   
16             18.3830                  0.0020                   
24             17.8007                  0.0020                   
32             17.2903                  0.0020                   
40             16.8418                  0.0020                   
60             15.8691                  0.0020                   
80             15.2456                  0.0010                   
100            14.9569                  0.0010                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              23.2886                  0.0050                   
2              21.9161                  0.0050                   
3              21.2639                  0.0050                   
4              20.8799                  0.0050                   
5              20.5170                  0.0050                   
6              20.2724                  0.0075                   
8              19.9021                  0.0075                   
10             19.4576                  0.0075                   
12             19.1692                  0.0100                   
16             18.5845                  0.0100                   
24             17.9290                  0.0150                   
32             17.4009                  0.0150                   
40             16.9861                  0.0200                   
60             16.3210                  0.0200                   
80             15.8653                  0.0250                   
100            15.5165                  0.0300                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              40.7195                  0.9999                   
2              38.1434                  0.9999                   
3              36.5028                  0.9999                   
4              35.2921                  0.9999                   
5              34.3731                  0.9999                   
6              33.5304                  0.9999                   
8              32.1684                  0.9999                   
10             30.9704                  0.9999                   
12             30.1111                  0.9999                   
16             28.6401                  0.9999                   
24             26.2916                  0.9999                   
32             25.0694                  0.9999                   
40             23.0671                  0.9999                   
60             20.4845                  0.9999                   
80             18.4661                  0.9999                   
100            16.6698                  0.9999                   
