--- Absolute Best Parameters ---
Initial SNR: -0.4053 dB

LMS:
Best SNR: 23.3720 dB
SNR Improvment: 23.7773 dB
Filter Length: 25
Optimal mu: 0.0500

NLMS:
Best SNR: 99.7661 dB
SNR Improvment: 100.1714 dB
Filter Length: 25
Optimal mu: 1.0000

RLS:
Best SNR: 97.8959 dB
SNR Improvment: 98.3012 dB
Filter Length: 4
Optimal lambda: 0.0500

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              16.3518                  1.0000                   
2              15.2047                  0.5500                   
3              19.3540                  0.4000                   
4              19.9317                  0.3000                   
5              20.0945                  0.2500                   
6              20.0555                  0.2000                   
7              19.8846                  0.1500                   
8              20.7442                  0.1500                   
9              21.7185                  0.1500                   
10             21.5242                  0.1000                   
11             22.0143                  0.1000                   
12             22.3419                  0.1000                   
13             22.5667                  0.1000                   
14             22.7882                  0.1000                   
15             23.1048                  0.1000                   
16             23.3635                  0.1000                   
17             22.1677                  0.0500                   
18             22.4228                  0.0500                   
19             22.6125                  0.0500                   
20             22.7556                  0.0500                   
21             22.8761                  0.0500                   
22             22.9953                  0.0500                   
23             23.1231                  0.0500                   
24             23.2527                  0.0500                   
25             23.3720                  0.0500                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              32.6800                  1.0000                   
2              41.7071                  1.0000                   
3              51.7822                  1.0000                   
4              58.0660                  1.0000                   
5              62.7595                  1.0000                   
6              67.7644                  1.0000                   
7              73.2970                  1.0000                   
8              78.3142                  1.0000                   
9              82.0029                  1.0000                   
10             84.6866                  1.0000                   
11             86.9774                  1.0000                   
12             88.9292                  1.0000                   
13             90.7175                  1.0000                   
14             92.4616                  1.0000                   
15             94.0446                  1.0000                   
16             95.3269                  1.0000                   
17             96.3277                  1.0000                   
18             97.1047                  1.0000                   
19             97.7170                  1.0000                   
20             98.2011                  1.0000                   
21             98.6023                  1.0000                   
22             98.9557                  1.0000                   
23             99.2632                  1.0000                   
24             99.5305                  1.0000                   
25             99.7661                  1.0000                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              30.9026                  0.0500                   
2              48.0651                  0.0500                   
3              86.0691                  0.0500                   
4              97.8959                  0.0500                   
5              87.6310                  0.2000                   
6              95.8407                  0.2000                   
7              90.2409                  0.3000                   
8              48.4856                  0.5000                   
9              42.2840                  0.6000                   
10             19.9084                  0.7500                   
11             15.7193                  1.0000                   
12             15.8375                  1.0000                   
13             15.9405                  1.0000                   
14             16.0184                  1.0000                   
15             16.1833                  1.0000                   
16             16.2956                  1.0000                   
17             16.3529                  1.0000                   
18             16.3965                  1.0000                   
19             16.4534                  1.0000                   
20             16.4125                  1.0000                   
21             16.5414                  1.0000                   
22             16.5561                  1.0000                   
23             16.5647                  1.0000                   
24             16.5936                  1.0000                   
25             16.6078                  1.0000                   
