--- Absolute Best Parameters ---
Initial SNR: -0.3472 dB
Initial MSE: 0.5363 dB

LMS:
Best SNR: 22.9252 dB
Best MSE: 0.4962 dB
SNR Improvment: 23.2723 dB
MSE Improvment: 0.0400 
Filter Length: 3
Optimal mu: 0.0050

NLMS:
Best SNR: 23.0410 dB
Best MSE: 0.4958 dB
SNR Improvment: 23.3882 dB
MSE Improvment: 0.0404 
Filter Length: 3
Optimal mu: 0.0020

RLS:
Best SNR: 25.3476 dB
Best MSE: 0.4948 dB
SNR Improvment: 25.6948 dB
MSE Improvment: 0.0415 
Filter Length: 3
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
3              22.9252                  0.0050                   
4              22.5666                  0.0050                   
5              22.0621                  0.0050                   
6              21.6343                  0.0050                   
8              21.0568                  0.0020                   
10             20.7479                  0.0020                   
12             20.3061                  0.0020                   
16             19.7535                  0.0020                   
24             18.7572                  0.0020                   
32             18.0459                  0.0010                   
40             17.6165                  0.0010                   
60             16.6589                  0.0010                   
80             15.8887                  0.0010                   
100            15.2069                  0.0010                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
3              23.0410                  0.0020                   
4              22.5911                  0.0010                   
5              22.2649                  0.0010                   
6              21.9593                  0.0010                   
8              21.5451                  0.0010                   
10             20.9716                  0.0010                   
12             20.4804                  0.0010                   
16             19.8007                  0.0020                   
24             18.8509                  0.0020                   
32             18.2978                  0.0020                   
40             17.8354                  0.0020                   
60             16.8040                  0.0020                   
80             16.0413                  0.0020                   
100            15.4109                  0.0020                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
3              25.3476                  0.9999                   
4              24.3305                  0.9999                   
5              23.9423                  0.9999                   
6              23.5196                  0.9999                   
8              22.9404                  0.9999                   
10             22.4515                  0.9999                   
12             22.1008                  0.9999                   
16             21.4390                  0.9999                   
24             20.5173                  0.9999                   
32             19.6561                  0.9999                   
40             18.9834                  0.9999                   
60             17.5755                  0.9999                   
80             16.4847                  0.9999                   
100            15.5604                  0.9999                   
