--- Absolute Best Parameters ---
Initial SNR: -0.4189 dB

LMS:
Best SNR: 21.1123 dB
SNR Improvment: 21.5311 dB
Filter Order: 21
Optimal mu: 0.0500

NLMS:
Best SNR: 26.9807 dB
SNR Improvment: 27.3996 dB
Filter Order: 25
Optimal mu: 1.0000

RLS:
Best SNR: 26.9808 dB
SNR Improvment: 27.3996 dB
Filter Order: 4
Optimal lambda: 0.0500

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              15.8226                  0.9500                   
2              14.6369                  0.4500                   
3              17.9217                  0.3000                   
4              18.2093                  0.2000                   
5              18.5999                  0.2000                   
6              18.6098                  0.1500                   
7              18.2086                  0.1000                   
8              18.8210                  0.1000                   
9              19.5845                  0.1000                   
10             20.1493                  0.1000                   
11             19.1552                  0.0500                   
12             19.4616                  0.0500                   
13             19.6954                  0.0500                   
14             19.8954                  0.0500                   
15             20.1146                  0.0500                   
16             20.3649                  0.0500                   
17             20.5990                  0.0500                   
18             20.7829                  0.0500                   
19             20.9180                  0.0500                   
20             21.0216                  0.0500                   
21             21.1123                  0.0500                   
22             10.2393                  0.0000                   
23             10.2393                  0.0000                   
24             10.2393                  0.0000                   
25             10.2393                  0.0000                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              25.8515                  1.0000                   
2              26.8011                  1.0000                   
3              26.9561                  1.0000                   
4              26.9750                  1.0000                   
5              26.9789                  1.0000                   
6              26.9800                  1.0000                   
7              26.9803                  1.0000                   
8              26.9805                  1.0000                   
9              26.9805                  1.0000                   
10             26.9806                  1.0000                   
11             26.9806                  1.0000                   
12             26.9806                  1.0000                   
13             26.9806                  1.0000                   
14             26.9806                  1.0000                   
15             26.9806                  1.0000                   
16             26.9807                  1.0000                   
17             26.9807                  1.0000                   
18             26.9807                  1.0000                   
19             26.9807                  1.0000                   
20             26.9807                  1.0000                   
21             26.9807                  1.0000                   
22             26.9807                  1.0000                   
23             26.9807                  1.0000                   
24             26.9807                  1.0000                   
25             26.9807                  1.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              25.4268                  0.0500                   
2              26.9208                  0.0500                   
3              26.9807                  0.0500                   
4              26.9808                  0.0500                   
5              26.9808                  0.1000                   
6              26.9808                  0.2000                   
7              26.9808                  0.3000                   
8              26.9761                  0.5000                   
9              26.9286                  0.6000                   
10             14.8630                  1.0000                   
11             15.1069                  1.0000                   
12             15.2525                  1.0000                   
13             15.3325                  1.0000                   
14             15.3953                  1.0000                   
15             15.5731                  1.0000                   
16             15.5754                  1.0000                   
17             15.6799                  1.0000                   
18             15.6694                  1.0000                   
19             15.7418                  1.0000                   
20             15.8245                  1.0000                   
21             15.8233                  1.0000                   
22             15.8762                  1.0000                   
23             15.8916                  1.0000                   
24             15.8970                  1.0000                   
25             15.9159                  1.0000                   
