--- Absolute Best Parameters ---

LMS:
Best SNR: 15.8481 dB
Filter Order: 11
Optimal mu: 0.1000

NLMS:
Best SNR: 19.1527 dB
Filter Order: 20
Optimal mu: 0.6000

RLS:
Best SNR: 15.3625 dB
Filter Order: 20
Optimal lambda: 1.0000

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              5.3241                   0.1000                   
2              7.4746                   0.1000                   
3              9.0396                   0.1000                   
4              10.3221                  0.1000                   
5              11.4428                  0.1000                   
6              12.4230                  0.1000                   
7              13.3023                  0.1000                   
8              14.0898                  0.1000                   
9              14.7914                  0.1000                   
10             15.4103                  0.1000                   
11             15.8481                  0.1000                   
12             15.0110                  0.1000                   
13             -0.6421                  0.1000                   
14             -16.1440                 0.1000                   
15             -48.7908                 0.1000                   
16             -87.5297                 0.1000                   
17             -315.3008                0.1000                   
18             -Inf                     0.0000                   
19             -Inf                     0.0000                   
20             -Inf                     0.0000                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              -2.8059                  0.1000                   
2              4.8435                   0.1000                   
3              7.6152                   0.1000                   
4              9.1472                   0.1000                   
5              10.3304                  0.2000                   
6              11.4152                  0.3000                   
7              12.3877                  0.4000                   
8              13.2521                  0.4000                   
9              14.0454                  0.5000                   
10             14.7727                  0.5000                   
11             15.4322                  0.5000                   
12             16.0262                  0.5000                   
13             16.5682                  0.5000                   
14             17.0674                  0.6000                   
15             17.5332                  0.6000                   
16             17.9471                  0.6000                   
17             18.3121                  0.6000                   
18             18.6312                  0.6000                   
19             18.9088                  0.6000                   
20             19.1527                  0.6000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              5.3917                   0.9000                   
2              7.2175                   0.9000                   
3              8.4610                   1.0000                   
4              9.5519                   1.0000                   
5              10.4195                  1.0000                   
6              11.1362                  1.0000                   
7              11.7441                  1.0000                   
8              12.2723                  1.0000                   
9              12.7359                  1.0000                   
10             13.1463                  1.0000                   
11             13.5069                  1.0000                   
12             13.8281                  1.0000                   
13             14.1121                  1.0000                   
14             14.3662                  1.0000                   
15             14.5897                  1.0000                   
16             14.7899                  1.0000                   
17             14.9661                  1.0000                   
18             15.1174                  1.0000                   
19             15.2490                  1.0000                   
20             15.3625                  1.0000                   
