--- Absolute Best Parameters ---

LMS:
Best SNR: 20.3837 dB
Filter Order: 25
Optimal mu: 0.0500

NLMS:
Best SNR: 19.9716 dB
Filter Order: 25
Optimal mu: 0.5400

RLS:
Best SNR: 15.7513 dB
Filter Order: 25
Optimal lambda: 1.0000

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              5.3595                   0.1100                   
2              7.4998                   0.0900                   
3              9.0563                   0.1100                   
4              10.3445                  0.1100                   
5              11.4729                  0.1100                   
6              12.4609                  0.1000                   
7              13.3468                  0.1000                   
8              14.1472                  0.0900                   
9              14.8737                  0.0900                   
10             15.5439                  0.0800                   
11             16.1644                  0.0800                   
12             16.7230                  0.0800                   
13             17.2308                  0.0700                   
14             17.7025                  0.0700                   
15             18.1224                  0.0700                   
16             18.4735                  0.0700                   
17             18.8215                  0.0600                   
18             19.1400                  0.0600                   
19             19.4150                  0.0600                   
20             19.6076                  0.0500                   
21             19.8365                  0.0500                   
22             20.0299                  0.0500                   
23             20.1959                  0.0500                   
24             20.3280                  0.0500                   
25             20.3837                  0.0500                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              -8.5103                  0.4000                   
2              2.3362                   0.4000                   
3              6.6434                   0.4000                   
4              8.7901                   0.4000                   
5              10.2800                  0.4000                   
6              11.4684                  0.4000                   
7              12.4718                  0.4100                   
8              13.3476                  0.4500                   
9              14.1284                  0.4700                   
10             14.8428                  0.4900                   
11             15.4947                  0.5100                   
12             16.0933                  0.5300                   
13             16.6364                  0.5500                   
14             17.1309                  0.5600                   
15             17.5800                  0.5600                   
16             17.9830                  0.5700                   
17             18.3464                  0.5700                   
18             18.6755                  0.5700                   
19             18.9605                  0.5700                   
20             19.2084                  0.5700                   
21             19.4181                  0.5600                   
22             19.5949                  0.5600                   
23             19.7446                  0.5500                   
24             19.8695                  0.5400                   
25             19.9716                  0.5400                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              5.4246                   0.9500                   
2              7.3926                   0.9520                   
3              8.6745                   0.9580                   
4              9.6069                   0.9660                   
5              10.4158                  1.0000                   
6              11.1380                  1.0000                   
7              11.7540                  1.0000                   
8              12.2859                  1.0000                   
9              12.7466                  1.0000                   
10             13.1535                  1.0000                   
11             13.5127                  1.0000                   
12             13.8324                  1.0000                   
13             14.1176                  1.0000                   
14             14.3731                  1.0000                   
15             14.6027                  1.0000                   
16             14.8033                  1.0000                   
17             14.9808                  1.0000                   
18             15.1382                  1.0000                   
19             15.2744                  1.0000                   
20             15.3915                  1.0000                   
21             15.4891                  1.0000                   
22             15.5733                  1.0000                   
23             15.6460                  1.0000                   
24             15.7025                  1.0000                   
25             15.7513                  1.0000                   
