--- Absolute Best Parameters ---
Initial SNR: -8.0477 dB
Initial MSE: 0.0529 dB

LMS:
Best SNR: 15.5112 dB
Best MSE: 0.0085 dB
SNR Improvment: 23.5589 dB
MSE Improvment: 0.0445 
Filter Length: 3
Optimal mu: 0.0300

NLMS:
Best SNR: 15.5650 dB
Best MSE: 0.0084 dB
SNR Improvment: 23.6127 dB
MSE Improvment: 0.0446 
Filter Length: 3
Optimal mu: 0.0200

RLS:
Best SNR: 28.8424 dB
Best MSE: 0.0083 dB
SNR Improvment: 36.8901 dB
MSE Improvment: 0.0446 
Filter Length: 3
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
3              15.5112                  0.0300                   
4              14.9740                  0.0300                   
5              14.7666                  0.0300                   
6              14.4691                  0.0300                   
8              13.8368                  0.0300                   
10             13.2987                  0.0250                   
12             12.8065                  0.0250                   
16             12.0696                  0.0200                   
24             11.0059                  0.0150                   
32             10.2962                  0.0150                   
40             9.8527                   0.0100                   
60             9.0657                   0.0100                   
80             8.4440                   0.0075                   
100            8.0843                   0.0075                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
3              15.5650                  0.0200                   
4              15.0679                  0.0100                   
5              14.7654                  0.0100                   
6              14.4243                  0.0100                   
8              13.8339                  0.0100                   
10             13.2606                  0.0100                   
12             12.7861                  0.0100                   
16             11.9913                  0.0100                   
24             10.8068                  0.0200                   
32             10.2538                  0.0200                   
40             9.8888                   0.0200                   
60             9.2735                   0.0200                   
80             8.8345                   0.0300                   
100            8.4572                   0.0300                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
3              28.8424                  0.9999                   
4              28.1936                  0.9999                   
5              27.9038                  0.9999                   
6              27.5424                  0.9999                   
8              26.9898                  0.9999                   
10             26.3689                  0.9999                   
12             25.7474                  0.9999                   
16             25.0230                  0.9999                   
24             23.7413                  0.9999                   
32             22.9977                  0.9999                   
40             22.4542                  0.9999                   
60             19.4081                  0.9999                   
80             17.6326                  0.9999                   
100            17.3606                  0.9999                   
