--- Absolute Best Parameters ---
Initial SNR: -8.0516 dB

LMS:
Best SNR: 10.2002 dB
SNR Improvment: 18.2518 dB
Filter Order: 25
Optimal mu: 0.1500

NLMS:
Best SNR: 82.1946 dB
SNR Improvment: 90.2462 dB
Filter Order: 25
Optimal mu: 1.0000

RLS:
Best SNR: 91.9727 dB
SNR Improvment: 100.0243 dB
Filter Order: 4
Optimal lambda: 0.0500

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              5.9863                   1.0000                   
2              6.9118                   1.0000                   
3              7.1924                   0.6500                   
4              7.5286                   0.5500                   
5              7.8887                   0.5000                   
6              8.0583                   0.4000                   
7              8.4418                   0.3500                   
8              8.8869                   0.3500                   
9              9.0481                   0.3000                   
10             9.3546                   0.3000                   
11             9.2384                   0.2500                   
12             9.4569                   0.2500                   
13             9.6383                   0.2500                   
14             9.3173                   0.2000                   
15             9.4816                   0.2000                   
16             9.6403                   0.2000                   
17             9.7251                   0.2000                   
18             9.1983                   0.1500                   
19             9.3281                   0.1500                   
20             9.4615                   0.1500                   
21             9.6007                   0.1500                   
22             9.7477                   0.1500                   
23             9.9030                   0.1500                   
24             10.0659                  0.1500                   
25             10.2002                  0.1500                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              21.2234                  1.0000                   
2              30.8398                  1.0000                   
3              38.1539                  1.0000                   
4              45.0677                  1.0000                   
5              50.1971                  1.0000                   
6              56.7698                  1.0000                   
7              61.2236                  1.0000                   
8              64.2603                  1.0000                   
9              66.5266                  1.0000                   
10             68.5137                  1.0000                   
11             70.2225                  1.0000                   
12             71.8087                  1.0000                   
13             73.3430                  1.0000                   
14             74.6286                  1.0000                   
15             75.7553                  1.0000                   
16             76.8564                  1.0000                   
17             77.8697                  1.0000                   
18             78.7203                  1.0000                   
19             79.4355                  1.0000                   
20             80.0745                  1.0000                   
21             80.6702                  1.0000                   
22             81.1856                  1.0000                   
23             81.5962                  1.0000                   
24             81.9247                  1.0000                   
25             82.1946                  1.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              19.3938                  0.0500                   
2              39.7823                  0.0500                   
3              78.6634                  0.0500                   
4              91.9727                  0.0500                   
5              91.2109                  0.0500                   
6              91.5901                  0.1500                   
7              79.1066                  0.2500                   
8              75.2003                  0.3500                   
9              64.4801                  0.4500                   
10             75.0678                  0.5500                   
11             31.7186                  0.7000                   
12             17.3428                  0.7500                   
13             1.9656                   1.0000                   
14             1.9684                   1.0000                   
15             2.1404                   0.9500                   
16             2.0348                   1.0000                   
17             2.0415                   1.0000                   
18             2.0410                   1.0000                   
19             2.0327                   1.0000                   
20             2.0561                   1.0000                   
21             2.0583                   1.0000                   
22             2.0643                   1.0000                   
23             2.0577                   1.0000                   
24             2.0538                   1.0000                   
25             2.0624                   1.0000                   
