--- Absolute Best Parameters ---
Initial SNR: -14.9449 dB
Initial MSE: 0.2591 dB

LMS:
Best SNR: 16.6320 dB
Best MSE: 0.0085 dB
SNR Improvment: 31.5769 dB
MSE Improvment: 0.2506 
Filter Length: 1
Optimal mu: 0.1000

NLMS:
Best SNR: 15.6893 dB
Best MSE: 0.0085 dB
SNR Improvment: 30.6342 dB
MSE Improvment: 0.2506 
Filter Length: 1
Optimal mu: 0.0300

RLS:
Best SNR: 35.6963 dB
Best MSE: 0.0083 dB
SNR Improvment: 50.6412 dB
MSE Improvment: 0.2508 
Filter Length: 1
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              16.6320                  0.1000                   
2              14.7136                  0.0300                   
3              14.1808                  0.0300                   
4              13.6912                  0.0300                   
5              13.2485                  0.0300                   
6              12.8435                  0.0300                   
8              12.1716                  0.0250                   
10             11.6468                  0.0250                   
12             11.2396                  0.0200                   
16             10.6082                  0.0200                   
24             9.7641                   0.0150                   
32             9.1418                   0.0150                   
40             8.6468                   0.0100                   
60             7.7642                   0.0100                   
80             7.0891                   0.0075                   
100            6.5622                   0.0075                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              15.6893                  0.0300                   
2              14.4537                  0.0300                   
3              13.6940                  0.0300                   
4              13.0903                  0.0300                   
5              12.6441                  0.0300                   
6              12.2823                  0.0300                   
8              11.5274                  0.0300                   
10             11.3747                  0.1000                   
12             11.3012                  0.1000                   
16             11.1226                  0.1000                   
24             10.7311                  0.1000                   
32             10.2861                  0.1000                   
40             9.8627                   0.1000                   
60             9.0474                   0.1000                   
80             8.4659                   0.2000                   
100            8.3641                   0.2000                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              35.6963                  0.9999                   
2              33.7753                  0.9999                   
3              32.0353                  0.9999                   
4              30.8038                  0.9999                   
5              30.7231                  0.9999                   
6              29.6724                  0.9999                   
8              28.6863                  0.9999                   
10             28.0576                  0.9999                   
12             26.8750                  0.9999                   
16             25.1976                  0.9999                   
24             23.4790                  0.9999                   
32             21.9592                  0.9999                   
40             20.4260                  0.9999                   
60             18.8632                  0.9999                   
80             17.1065                  0.9999                   
100            15.1605                  0.9997                   
