--- Absolute Best Parameters ---
Initial SNR: -8.0062 dB

LMS:
Best SNR: 10.4062 dB
SNR Improvment: 18.4124 dB
Filter Order: 24
Optimal mu: 0.1500

NLMS:
Best SNR: 52.7967 dB
SNR Improvment: 60.8029 dB
Filter Order: 25
Optimal mu: 1.0000

RLS:
Best SNR: 52.8096 dB
SNR Improvment: 60.8158 dB
Filter Order: 6
Optimal lambda: 0.2000

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              6.4030                   1.0000                   
2              7.4437                   1.0000                   
3              7.9741                   0.8000                   
4              8.1097                   0.6000                   
5              8.3501                   0.5000                   
6              8.6851                   0.4500                   
7              9.0803                   0.4000                   
8              9.3166                   0.3500                   
9              9.4147                   0.3000                   
10             9.7091                   0.3000                   
11             9.7785                   0.3000                   
12             9.8406                   0.2500                   
13             9.5574                   0.2000                   
14             9.7406                   0.2000                   
15             9.9129                   0.2000                   
16             10.0797                  0.2000                   
17             10.2373                  0.2000                   
18             10.3572                  0.2000                   
19             9.7758                   0.1500                   
20             9.9027                   0.1500                   
21             10.0310                  0.1500                   
22             10.1629                  0.1500                   
23             10.2976                  0.1500                   
24             10.4062                  0.1500                   
25             10.2303                  0.1500                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              21.5092                  1.0000                   
2              30.7193                  1.0000                   
3              38.2129                  1.0000                   
4              42.2719                  1.0000                   
5              46.1874                  1.0000                   
6              49.3662                  1.0000                   
7              50.9232                  1.0000                   
8              51.9770                  1.0000                   
9              52.4155                  1.0000                   
10             52.5860                  1.0000                   
11             52.6767                  1.0000                   
12             52.7265                  1.0000                   
13             52.7533                  1.0000                   
14             52.7678                  1.0000                   
15             52.7775                  1.0000                   
16             52.7846                  1.0000                   
17             52.7887                  1.0000                   
18             52.7913                  1.0000                   
19             52.7930                  1.0000                   
20             52.7942                  1.0000                   
21             52.7951                  1.0000                   
22             52.7957                  1.0000                   
23             52.7961                  1.0000                   
24             52.7965                  1.0000                   
25             52.7967                  1.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              20.0722                  0.0500                   
2              34.2684                  0.0500                   
3              52.7587                  0.0500                   
4              52.7725                  0.0500                   
5              52.8062                  0.1000                   
6              52.8096                  0.2000                   
7              52.7815                  0.2500                   
8              51.4297                  0.4500                   
9              52.8089                  0.4500                   
10             52.6539                  0.5500                   
11             15.5045                  0.7000                   
12             23.5805                  0.7500                   
13             6.3658                   0.8500                   
14             2.0722                   1.0000                   
15             21.1540                  0.9500                   
16             2.1260                   1.0000                   
17             2.1366                   1.0000                   
18             2.1392                   1.0000                   
19             2.1526                   1.0000                   
20             2.1529                   1.0000                   
21             2.1595                   1.0000                   
22             2.1627                   1.0000                   
23             2.1568                   1.0000                   
24             2.1627                   1.0000                   
25             2.1618                   1.0000                   
