--- Absolute Best Parameters ---
Initial SNR: -0.1003 dB
Initial MSE: 0.0211 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 28.9155 dB
Best MSE: 0.0207 dB
SNR Improvment: 29.0158 dB
MSE Improvment: 0.0004 
Filter Length: 8
Optimal mu: 0.0200

NLMS:
Best SNR: 30.5129 dB
Best MSE: 0.0207 dB
SNR Improvment: 30.6132 dB
MSE Improvment: 0.0005 
Filter Length: 8
Optimal mu: 0.0050

RLS:
Best SNR: 22.0761 dB
Best MSE: 0.0206 dB
SNR Improvment: 22.1764 dB
MSE Improvment: 0.0005 
Filter Length: 2
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              28.1967                  0.2000                   
2              28.3223                  0.1000                   
3              27.8468                  0.0300                   
4              28.6463                  0.0300                   
5              28.8562                  0.0300                   
6              28.9012                  0.0250                   
8              28.9155                  0.0200                   
10             28.8825                  0.0150                   
12             28.7303                  0.0150                   
16             28.5073                  0.0100                   
24             27.8101                  0.0075                   
32             27.1673                  0.0075                   
40             26.7395                  0.0075                   
60             26.3973                  0.0075                   
80             26.1994                  0.0050                   
100            25.8862                  0.0050                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              28.9686                  0.0200                   
2              29.2677                  0.0100                   
3              29.6585                  0.0100                   
4              30.0533                  0.0075                   
5              30.0254                  0.0075                   
6              30.1763                  0.0050                   
8              30.5129                  0.0050                   
10             30.2548                  0.0050                   
12             29.7630                  0.0050                   
16             28.6530                  0.0050                   
24             26.5979                  0.0050                   
32             24.8952                  0.0020                   
40             23.4072                  0.0020                   
60             19.6896                  0.0020                   
80             16.5283                  0.0010                   
100            15.3536                  0.0001                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              22.0612                  0.9999                   
2              22.0761                  0.9999                   
3              22.0470                  0.9999                   
4              22.0299                  0.9999                   
5              21.9908                  0.9999                   
6              21.9545                  0.9999                   
8              21.8286                  0.9999                   
10             21.6353                  0.9999                   
12             21.2936                  0.9999                   
16             20.8468                  0.9999                   
24             19.9271                  0.9999                   
32             18.9445                  0.9999                   
40             18.2485                  0.9999                   
60             17.2751                  0.9999                   
80             16.7740                  0.9999                   
100            16.0227                  0.9999                   
