--- Absolute Best Parameters ---
Initial SNR: -1.0533 dB
Initial MSE: 0.0027 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: -3.6721 dB
Best MSE: 0.0028 dB
SNR Improvment: -2.6187 dB
MSE Improvment: -0.0001 
Filter Length: 100
Optimal mu: 0.2000

NLMS:
Best SNR: -2.7469 dB
Best MSE: 0.0019 dB
SNR Improvment: -1.6935 dB
MSE Improvment: 0.0008 
Filter Length: 100
Optimal mu: 0.9000

RLS:
Best SNR: -1.8893 dB
Best MSE: 0.0012 dB
SNR Improvment: -0.8360 dB
MSE Improvment: 0.0015 
Filter Length: 1
Optimal lambda: 0.9200

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              -3.7826                  0.9000                   
2              -3.7694                  0.9000                   
3              -3.7603                  0.9000                   
4              -3.7532                  0.9000                   
5              -3.7471                  0.9000                   
6              -3.7418                  0.9000                   
8              -3.7324                  0.9000                   
10             -3.7244                  0.9000                   
12             -3.7174                  0.9000                   
16             -3.7050                  0.9000                   
24             -3.6918                  0.8000                   
32             -3.6918                  0.6000                   
40             -3.6886                  0.5000                   
60             -3.6871                  0.3000                   
80             -3.6856                  0.2000                   
100            -3.6721                  0.2000                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              -3.7238                  0.9000                   
2              -3.6881                  0.9000                   
3              -3.6567                  0.9000                   
4              -3.6273                  0.9000                   
5              -3.5996                  0.9000                   
6              -3.5736                  0.9000                   
8              -3.5261                  0.9000                   
10             -3.4842                  0.9000                   
12             -3.4471                  0.9000                   
16             -3.3850                  0.9000                   
24             -3.2940                  0.9000                   
32             -3.2292                  0.9000                   
40             -3.1785                  0.9000                   
60             -3.0608                  0.9000                   
80             -2.9116                  0.9000                   
100            -2.7469                  0.9000                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              -1.8893                  0.9200                   
2              -1.9225                  0.9200                   
3              -1.9427                  0.9200                   
4              -1.9591                  0.9200                   
5              -2.0121                  0.9200                   
6              -2.0606                  0.9200                   
8              -2.2440                  0.9200                   
10             -2.3271                  0.9200                   
12             -2.4217                  0.9200                   
16             -2.5713                  0.9500                   
24             -2.8079                  0.9500                   
32             -2.6545                  0.9200                   
40             -2.9506                  0.9200                   
60             -3.5642                  0.9200                   
80             -3.7642                  0.9997                   
100            -3.7782                  0.9997                   
