--- Absolute Best Parameters ---
Initial SNR: -2.6409 dB
Initial MSE: 0.0414 dB
Freq of recordings: 8000.0000 Hz

LMS:
Best SNR: -0.1742 dB
Best MSE: 0.0013 dB
SNR Improvment: 2.4667 dB
MSE Improvment: 0.0402 
Filter Length: 32
Optimal mu: 0.1000

NLMS:
Best SNR: -0.1693 dB
Best MSE: 0.0013 dB
SNR Improvment: 2.4716 dB
MSE Improvment: 0.0402 
Filter Length: 32
Optimal mu: 0.1000

RLS:
Best SNR: -0.1144 dB
Best MSE: 0.0014 dB
SNR Improvment: 2.5265 dB
MSE Improvment: 0.0401 
Filter Length: 60
Optimal lambda: 0.9900

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              -0.2011                  0.2000                   
2              -0.1990                  0.2000                   
3              -0.1956                  0.2000                   
4              -0.1930                  0.2000                   
5              -0.1904                  0.2000                   
6              -0.1892                  0.2000                   
8              -0.1880                  0.2000                   
10             -0.1860                  0.2000                   
12             -0.1837                  0.2000                   
16             -0.1799                  0.1000                   
24             -0.1749                  0.1000                   
32             -0.1742                  0.1000                   
40             -0.1763                  0.1000                   
60             -0.1760                  0.0300                   
80             -0.1752                  0.0300                   
100            -0.1753                  0.0300                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              -0.2012                  0.0300                   
2              -0.1992                  0.0300                   
3              -0.1957                  0.0300                   
4              -0.1928                  0.0300                   
5              -0.1902                  0.0300                   
6              -0.1889                  0.1000                   
8              -0.1867                  0.1000                   
10             -0.1836                  0.1000                   
12             -0.1809                  0.1000                   
16             -0.1765                  0.1000                   
24             -0.1710                  0.1000                   
32             -0.1693                  0.1000                   
40             -0.1706                  0.1000                   
60             -0.1718                  0.1000                   
80             -0.1728                  0.1000                   
100            -0.1736                  0.1000                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              -0.1945                  0.9900                   
2              -0.1919                  0.9900                   
3              -0.1876                  0.9950                   
4              -0.1834                  0.9950                   
5              -0.1810                  0.9950                   
6              -0.1791                  0.9950                   
8              -0.1758                  0.9950                   
10             -0.1723                  0.9950                   
12             -0.1682                  0.9950                   
16             -0.1549                  0.9950                   
24             -0.1338                  0.9900                   
32             -0.1312                  0.9900                   
40             -0.1291                  0.9900                   
60             -0.1144                  0.9900                   
80             -0.1211                  0.9900                   
100            -0.1421                  0.9900                   
