--- Absolute Best Parameters ---
Initial SNR: -10.4065 dB
Initial MSE: 0.0232 dB
Freq of recordings: 48000.0000 Hz

LMS:
Best SNR: 15.8594 dB
Best MSE: 0.0021 dB
SNR Improvment: 26.2660 dB
MSE Improvment: 0.0211 
Filter Length: 1
Optimal mu: 0.1000

NLMS:
Best SNR: 17.7902 dB
Best MSE: 0.0021 dB
SNR Improvment: 28.1968 dB
MSE Improvment: 0.0211 
Filter Length: 1
Optimal mu: 0.0100

RLS:
Best SNR: 27.7422 dB
Best MSE: 0.0021 dB
SNR Improvment: 38.1488 dB
MSE Improvment: 0.0211 
Filter Length: 1
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              15.8594                  0.1000                   
2              15.1314                  0.0300                   
3              14.1394                  0.0300                   
4              13.6354                  0.0250                   
5              13.1971                  0.0200                   
6              12.7832                  0.0200                   
8              12.1537                  0.0150                   
10             11.6904                  0.0150                   
12             11.2966                  0.0150                   
16             10.8091                  0.0100                   
24             10.1166                  0.0100                   
32             9.7108                   0.0075                   
40             9.4222                   0.0075                   
60             8.9427                   0.0075                   
80             8.5960                   0.0050                   
100            8.1888                   0.0050                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              17.7902                  0.0100                   
2              16.4939                  0.0075                   
3              15.5627                  0.0075                   
4              14.9576                  0.0075                   
5              14.4630                  0.0075                   
6              14.0543                  0.0075                   
8              13.4062                  0.0050                   
10             12.8638                  0.0050                   
12             12.3807                  0.0050                   
16             11.6167                  0.0050                   
24             10.4016                  0.0050                   
32             9.6165                   0.0075                   
40             9.0614                   0.0075                   
60             8.1431                   0.0075                   
80             7.2196                   0.0050                   
100            6.3880                   0.0075                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              27.7422                  0.9999                   
2              27.7389                  0.9999                   
3              27.7271                  0.9999                   
4              27.7130                  0.9999                   
5              27.7011                  0.9999                   
6              27.6878                  0.9999                   
8              27.6505                  0.9999                   
10             27.6244                  0.9999                   
12             27.6011                  0.9999                   
16             27.5705                  0.9999                   
24             27.5032                  0.9999                   
32             27.4435                  0.9999                   
40             27.3534                  0.9999                   
60             26.9805                  0.9999                   
80             26.5961                  0.9999                   
100            26.0671                  0.9999                   
