--- Absolute Best Parameters ---
Initial SNR: -0.2341 dB
Initial MSE: 0.0320 dB

LMS:
Best SNR: 30.1493 dB
Best MSE: 0.0303 dB
SNR Improvment: 30.3834 dB
MSE Improvment: 0.0017 
Filter Length: 10
Optimal mu: 0.0050

NLMS:
Best SNR: 31.0005 dB
Best MSE: 0.0303 dB
SNR Improvment: 31.2346 dB
MSE Improvment: 0.0017 
Filter Length: 10
Optimal mu: 0.0020

RLS:
Best SNR: 29.6417 dB
Best MSE: 0.0303 dB
SNR Improvment: 29.8758 dB
MSE Improvment: 0.0017 
Filter Length: 3
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
3              27.4101                  0.0200                   
4              28.0487                  0.0150                   
5              28.6558                  0.0100                   
6              29.1668                  0.0100                   
8              29.8767                  0.0075                   
10             30.1493                  0.0050                   
12             30.0380                  0.0050                   
16             29.0755                  0.0050                   
24             27.8740                  0.0020                   
32             26.9196                  0.0020                   
40             26.0139                  0.0020                   
60             24.7593                  0.0010                   
80             24.2824                  0.0010                   
100            24.2082                  0.0010                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
3              27.6682                  0.0050                   
4              28.2344                  0.0050                   
5              28.8340                  0.0020                   
6              29.6086                  0.0020                   
8              30.6365                  0.0020                   
10             31.0005                  0.0020                   
12             30.9467                  0.0020                   
16             30.4759                  0.0010                   
24             29.6734                  0.0010                   
32             28.7149                  0.0010                   
40             27.8922                  0.0010                   
60             26.1610                  0.0008                   
80             24.3544                  0.0008                   
100            23.4395                  0.0008                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
3              29.6417                  0.9999                   
4              29.6292                  0.9999                   
5              29.5749                  0.9999                   
6              29.5626                  0.9999                   
8              29.3937                  0.9999                   
10             29.2459                  0.9999                   
12             28.8173                  0.9999                   
16             28.3144                  0.9999                   
24             27.1412                  0.9999                   
32             26.1086                  0.9999                   
40             25.1804                  0.9999                   
60             23.3999                  0.9999                   
80             22.0844                  0.9999                   
100            21.1566                  0.9999                   
