--- Absolute Best Parameters ---

LMS:
Best SNR: 19.4680 dB
Filter Order: 1
Optimal mu: 0.9010

NLMS:
Best SNR: 18.7040 dB
Filter Order: 1
Optimal mu: 0.1010

RLS:
Best SNR: 18.8151 dB
Filter Order: 1
Optimal lambda: 0.9010

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              19.4680                  0.9010                   
2              19.4347                  0.3010                   
3              19.3035                  0.1010                   
4              19.1035                  0.1010                   
5              18.8167                  0.1010                   
6              18.6670                  0.1010                   
7              18.6638                  0.1010                   
8              18.7351                  0.1010                   
9              18.8193                  0.1010                   
10             18.8750                  0.1010                   
11             18.8821                  0.1010                   
12             18.8458                  0.1010                   
13             18.7895                  0.1010                   
14             18.7377                  0.1010                   
15             18.7020                  0.1010                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              18.7040                  0.1010                   
2              17.5888                  0.3010                   
3              17.3384                  0.3010                   
4              17.2659                  0.3010                   
5              17.2218                  0.3010                   
6              17.1909                  0.4010                   
7              17.1740                  0.4010                   
8              17.1461                  0.4010                   
9              17.1057                  0.5010                   
10             17.0648                  0.5010                   
11             17.0245                  0.6010                   
12             16.9952                  0.7010                   
13             16.9764                  0.7010                   
14             16.9622                  0.8010                   
15             16.9550                  0.8010                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              18.8151                  0.9010                   
2              17.8754                  0.4010                   
3              17.4767                  0.9010                   
4              17.4372                  0.9010                   
5              17.3950                  0.9010                   
6              17.3571                  0.9010                   
7              17.3252                  0.9010                   
8              17.2921                  0.9010                   
9              17.2652                  0.9010                   
10             17.2382                  0.9010                   
11             17.2122                  0.9010                   
12             17.1871                  0.9010                   
13             17.1630                  0.9010                   
14             17.1401                  0.9010                   
15             17.1186                  0.9010                   
