--- Absolute Best Parameters ---
Initial SNR: -0.1556 dB
Initial MSE: 0.0364 dB

LMS:
Best SNR: 31.0708 dB
Best MSE: 0.0351 dB
SNR Improvment: 31.2264 dB
MSE Improvment: 0.0013 
Filter Length: 10
Optimal mu: 0.0100

NLMS:
Best SNR: 30.4670 dB
Best MSE: 0.0350 dB
SNR Improvment: 30.6226 dB
MSE Improvment: 0.0013 
Filter Length: 10
Optimal mu: 0.0050

RLS:
Best SNR: 32.5915 dB
Best MSE: 0.0350 dB
SNR Improvment: 32.7471 dB
MSE Improvment: 0.0013 
Filter Length: 5
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
3              28.7655                  0.0300                   
4              29.4537                  0.0300                   
5              30.0023                  0.0250                   
6              30.4673                  0.0200                   
8              30.9851                  0.0150                   
10             31.0708                  0.0100                   
12             30.7807                  0.0075                   
16             29.8925                  0.0075                   
24             28.1697                  0.0050                   
32             26.7714                  0.0020                   
40             26.1311                  0.0020                   
60             24.6891                  0.0010                   
80             24.2615                  0.0010                   
100            24.3139                  0.0010                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
3              28.4817                  0.0100                   
4              29.0912                  0.0075                   
5              29.5414                  0.0075                   
6              29.8721                  0.0050                   
8              30.4022                  0.0050                   
10             30.4670                  0.0050                   
12             30.2450                  0.0050                   
16             29.4424                  0.0050                   
24             28.0361                  0.0020                   
32             27.1166                  0.0020                   
40             26.3721                  0.0020                   
60             25.1760                  0.0020                   
80             24.6673                  0.0020                   
100            24.4874                  0.0020                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
3              32.0930                  0.9999                   
4              32.4152                  0.9999                   
5              32.5915                  0.9999                   
6              32.5821                  0.9999                   
8              32.0391                  0.9999                   
10             31.5068                  0.9999                   
12             31.3232                  0.9999                   
16             30.7106                  0.9999                   
24             29.4984                  0.9999                   
32             28.4061                  0.9999                   
40             27.3032                  0.9999                   
60             25.0187                  0.9999                   
80             23.2825                  0.9999                   
100            22.2137                  0.9999                   
