--- Absolute Best Parameters ---
Initial SNR: -0.2325 dB

LMS:
Best SNR: 19.6934 dB
SNR Improvment: 19.9260 dB
Filter Order: 2
Optimal mu: 0.5500

NLMS:
Best SNR: 20.0754 dB
SNR Improvment: 20.3080 dB
Filter Order: 1
Optimal mu: 0.0500

RLS:
Best SNR: 19.2249 dB
SNR Improvment: 19.4574 dB
Filter Order: 1
Optimal lambda: 0.9500

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              19.6758                  1.0000                   
2              19.6934                  0.5500                   
3              19.5969                  0.2000                   
4              19.4945                  0.1000                   
5              19.3888                  0.1000                   
6              19.3248                  0.0500                   
7              19.2635                  0.0500                   
8              19.2374                  0.1000                   
9              19.2594                  0.1000                   
10             19.2893                  0.1000                   
11             19.3184                  0.1000                   
12             19.3416                  0.1000                   
13             19.3680                  0.0500                   
14             19.3953                  0.0500                   
15             19.4143                  0.0500                   
16             19.4238                  0.0500                   
17             19.4233                  0.0500                   
18             19.4136                  0.0500                   
19             19.3965                  0.0500                   
20             19.3745                  0.0500                   
21             19.3502                  0.0500                   
22             19.3255                  0.0500                   
23             19.3016                  0.0500                   
24             19.2791                  0.0500                   
25             19.2577                  0.0500                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              20.0754                  0.0500                   
2              19.1697                  0.0500                   
3              18.7095                  0.2000                   
4              18.6401                  0.2500                   
5              18.5758                  0.2500                   
6              18.5173                  0.2500                   
7              18.4702                  0.2500                   
8              18.4296                  0.2500                   
9              18.4070                  0.0000                   
10             18.4070                  0.0000                   
11             18.4070                  0.0000                   
12             18.4070                  0.0000                   
13             18.4070                  0.0000                   
14             18.4070                  0.0000                   
15             18.4070                  0.0000                   
16             18.4070                  0.0000                   
17             18.4070                  0.0000                   
18             18.4070                  0.0000                   
19             18.4070                  0.0000                   
20             18.4070                  0.0000                   
21             18.4070                  0.0000                   
22             18.4070                  0.0000                   
23             18.4070                  0.0000                   
24             18.4070                  0.0000                   
25             18.4070                  0.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              19.2249                  0.9500                   
2              18.9355                  0.9000                   
3              18.5484                  0.9500                   
4              18.4803                  1.0000                   
5              18.5683                  1.0000                   
6              18.6024                  1.0000                   
7              18.6031                  1.0000                   
8              18.5904                  1.0000                   
9              18.5464                  1.0000                   
10             18.5605                  1.0000                   
11             18.5680                  1.0000                   
12             18.5451                  1.0000                   
13             18.5862                  1.0000                   
14             18.6785                  1.0000                   
15             18.6868                  1.0000                   
16             18.6750                  1.0000                   
17             18.6694                  1.0000                   
18             18.6690                  1.0000                   
19             18.6621                  1.0000                   
20             18.6588                  1.0000                   
21             18.6564                  1.0000                   
22             18.6911                  1.0000                   
23             18.6607                  1.0000                   
24             18.6623                  1.0000                   
25             18.6761                  1.0000                   
