--- Absolute Best Parameters ---
Initial SNR: -3.8714 dB
Initial MSE: 0.0448 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 29.2602 dB
Best MSE: 0.0177 dB
SNR Improvment: 33.1316 dB
MSE Improvment: 0.0272 
Filter Length: 12
Optimal mu: 0.0010

NLMS:
Best SNR: 27.6612 dB
Best MSE: 0.0177 dB
SNR Improvment: 31.5325 dB
MSE Improvment: 0.0271 
Filter Length: 8
Optimal mu: 0.0010

RLS:
Best SNR: 31.4403 dB
Best MSE: 0.0177 dB
SNR Improvment: 35.3117 dB
MSE Improvment: 0.0271 
Filter Length: 12
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              22.1391                  0.0075                   
2              23.5948                  0.0100                   
3              24.9970                  0.0050                   
4              26.0765                  0.0050                   
5              27.0743                  0.0020                   
6              27.8254                  0.0020                   
8              28.6530                  0.0010                   
10             29.1053                  0.0010                   
12             29.2602                  0.0010                   
16             29.1975                  0.0010                   
24             28.5316                  0.0010                   
32             27.7958                  0.0010                   
40             27.1167                  0.0010                   
60             25.8910                  0.0010                   
80             24.8255                  0.0010                   
100            23.9685                  0.0010                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              22.1481                  0.0010                   
2              23.8116                  0.0020                   
3              25.1869                  0.0010                   
4              26.2708                  0.0010                   
5              26.9440                  0.0010                   
6              27.3427                  0.0010                   
8              27.6612                  0.0010                   
10             27.6380                  0.0010                   
12             27.5070                  0.0010                   
16             27.2319                  0.0010                   
24             26.7516                  0.0010                   
32             26.2430                  0.0010                   
40             25.9035                  0.0010                   
60             25.2314                  0.0010                   
80             24.4253                  0.0010                   
100            23.7163                  0.0010                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              22.3328                  0.9999                   
2              25.2675                  0.9999                   
3              26.5435                  0.9999                   
4              27.7613                  0.9999                   
5              28.7202                  0.9999                   
6              29.5141                  0.9999                   
8              30.6543                  0.9999                   
10             31.2158                  0.9999                   
12             31.4403                  0.9999                   
16             31.3529                  0.9999                   
24             30.6129                  0.9999                   
32             29.7399                  0.9999                   
40             28.9719                  0.9999                   
60             27.1129                  0.9999                   
80             25.5622                  0.9999                   
100            24.5644                  0.9999                   
