--- Absolute Best Parameters ---
Initial SNR: -0.2624 dB
Initial MSE: 0.0322 dB

LMS:
Best SNR: 29.4407 dB
Best MSE: 0.0304 dB
SNR Improvment: 29.7031 dB
MSE Improvment: 0.0019 
Filter Length: 10
Optimal mu: 0.0050

NLMS:
Best SNR: 30.4623 dB
Best MSE: 0.0303 dB
SNR Improvment: 30.7247 dB
MSE Improvment: 0.0019 
Filter Length: 12
Optimal mu: 0.0020

RLS:
Best SNR: 30.2715 dB
Best MSE: 0.0303 dB
SNR Improvment: 30.5339 dB
MSE Improvment: 0.0019 
Filter Length: 8
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              24.5588                  0.0300                   
2              25.5185                  0.0250                   
3              26.3185                  0.0200                   
4              27.1022                  0.0150                   
5              27.8183                  0.0100                   
6              28.3749                  0.0100                   
8              29.1320                  0.0075                   
10             29.4407                  0.0050                   
12             29.4300                  0.0050                   
16             28.7248                  0.0050                   
24             27.5962                  0.0020                   
32             26.6889                  0.0020                   
40             25.8219                  0.0020                   
60             24.5391                  0.0010                   
80             24.0802                  0.0010                   
100            24.0009                  0.0010                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              24.8287                  0.0100                   
2              25.7227                  0.0050                   
3              26.6863                  0.0050                   
4              27.4275                  0.0050                   
5              27.9944                  0.0020                   
6              28.7761                  0.0020                   
8              29.8450                  0.0020                   
10             30.3485                  0.0020                   
12             30.4623                  0.0020                   
16             30.1409                  0.0020                   
24             29.2228                  0.0010                   
32             28.5423                  0.0010                   
40             27.9087                  0.0010                   
60             26.5705                  0.0010                   
80             24.8206                  0.0010                   
100            23.9222                  0.0010                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              25.1827                  0.9999                   
2              27.1696                  0.9999                   
3              28.3460                  0.9999                   
4              29.0605                  0.9999                   
5              29.6448                  0.9999                   
6              29.9683                  0.9999                   
8              30.2715                  0.9999                   
10             30.1896                  0.9999                   
12             29.8761                  0.9999                   
16             29.3589                  0.9999                   
24             28.1490                  0.9999                   
32             27.0464                  0.9999                   
40             26.0295                  0.9999                   
60             23.8949                  0.9999                   
80             22.3884                  0.9999                   
100            21.0993                  0.9999                   
