--- Absolute Best Parameters ---
Initial SNR: -4.6374 dB
Initial MSE: 0.0238 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 19.7498 dB
Best MSE: 0.0082 dB
SNR Improvment: 24.3872 dB
MSE Improvment: 0.0156 
Filter Length: 16
Optimal mu: 0.0100

NLMS:
Best SNR: 18.3145 dB
Best MSE: 0.0082 dB
SNR Improvment: 22.9519 dB
MSE Improvment: 0.0156 
Filter Length: 16
Optimal mu: 0.0050

RLS:
Best SNR: 30.3316 dB
Best MSE: 0.0082 dB
SNR Improvment: 34.9690 dB
MSE Improvment: 0.0156 
Filter Length: 24
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              4.0614                   0.2000                   
2              8.9714                   0.2000                   
3              10.5073                  0.1000                   
4              11.8430                  0.1000                   
5              13.2708                  0.0300                   
6              14.5839                  0.0300                   
8              16.7798                  0.0250                   
10             18.3559                  0.0200                   
12             19.3184                  0.0150                   
16             19.7498                  0.0100                   
24             19.2232                  0.0100                   
32             18.7271                  0.0075                   
40             18.4023                  0.0075                   
60             17.6492                  0.0075                   
80             17.3126                  0.0050                   
100            17.1333                  0.0050                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              4.0580                   0.0200                   
2              8.9722                   0.0250                   
3              10.4593                  0.0150                   
4              11.8529                  0.0100                   
5              13.1409                  0.0075                   
6              14.3088                  0.0075                   
8              16.2705                  0.0050                   
10             17.4936                  0.0050                   
12             18.0987                  0.0050                   
16             18.3145                  0.0050                   
24             17.8785                  0.0050                   
32             17.6038                  0.0050                   
40             17.4509                  0.0050                   
60             17.2328                  0.0050                   
80             17.0941                  0.0050                   
100            16.9365                  0.0050                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              4.0836                   0.9985                   
2              9.3777                   0.9980                   
3              10.9380                  0.9985                   
4              12.6340                  0.9990                   
5              14.2190                  0.9992                   
6              15.8373                  0.9995                   
8              18.8339                  0.9995                   
10             21.5897                  0.9997                   
12             24.0030                  0.9997                   
16             27.9344                  0.9999                   
24             30.3316                  0.9999                   
32             30.0906                  0.9999                   
40             29.6769                  0.9999                   
60             29.0550                  0.9999                   
80             28.2939                  0.9999                   
100            27.6722                  0.9999                   
