--- Absolute Best Parameters ---
Initial SNR: -0.0282 dB
Initial MSE: 0.0321 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 37.8633 dB
Best MSE: 0.0319 dB
SNR Improvment: 37.8915 dB
MSE Improvment: 0.0002 
Filter Length: 8
Optimal mu: 0.3000

NLMS:
Best SNR: 37.8504 dB
Best MSE: 0.0319 dB
SNR Improvment: 37.8786 dB
MSE Improvment: 0.0002 
Filter Length: 8
Optimal mu: 0.0300

RLS:
Best SNR: 44.2082 dB
Best MSE: 0.0319 dB
SNR Improvment: 44.2364 dB
MSE Improvment: 0.0002 
Filter Length: 10
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              29.3559                  0.9000                   
2              31.6186                  0.9000                   
3              33.7351                  0.7000                   
4              35.3893                  0.5000                   
5              36.6170                  0.4000                   
6              37.4011                  0.3000                   
8              37.8633                  0.3000                   
10             37.6994                  0.2000                   
12             37.4682                  0.2000                   
16             36.9781                  0.2000                   
24             36.2295                  0.2000                   
32             35.7641                  0.2000                   
40             35.4040                  0.2000                   
60             35.0045                  0.1000                   
80             34.5201                  0.1000                   
100            34.2329                  0.1000                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              29.4104                  0.2000                   
2              31.6552                  0.1000                   
3              33.6538                  0.1000                   
4              35.0255                  0.0300                   
5              36.4843                  0.0300                   
6              37.3559                  0.0300                   
8              37.8504                  0.0300                   
10             37.7279                  0.0250                   
12             37.4178                  0.0250                   
16             36.9031                  0.0200                   
24             36.2530                  0.0200                   
32             35.9474                  0.0150                   
40             35.7937                  0.0150                   
60             35.3595                  0.0150                   
80             34.7408                  0.0150                   
100            34.3800                  0.0150                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              29.7834                  0.9999                   
2              33.9686                  0.9999                   
3              36.2928                  0.9999                   
4              38.6146                  0.9999                   
5              40.6146                  0.9999                   
6              42.2590                  0.9999                   
8              44.1170                  0.9999                   
10             44.2082                  0.9999                   
12             43.4718                  0.9999                   
16             41.5572                  0.9999                   
24             38.1342                  0.9999                   
32             36.3942                  0.9999                   
40             35.0669                  0.9999                   
60             31.5337                  0.9999                   
80             28.4275                  0.9999                   
100            26.9313                  0.9999                   
