--- Absolute Best Parameters ---
Initial SNR: -14.4632 dB
Initial MSE: 0.0311 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 7.0869 dB
Best MSE: 0.0009 dB
SNR Improvment: 21.5501 dB
MSE Improvment: 0.0302 
Filter Length: 24
Optimal mu: 0.0150

NLMS:
Best SNR: 6.8367 dB
Best MSE: 0.0009 dB
SNR Improvment: 21.2999 dB
MSE Improvment: 0.0302 
Filter Length: 24
Optimal mu: 0.0150

RLS:
Best SNR: 7.6702 dB
Best MSE: 0.0009 dB
SNR Improvment: 22.1333 dB
MSE Improvment: 0.0302 
Filter Length: 32
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              -6.5898                  0.1000                   
2              -2.3122                  0.2000                   
3              -0.9813                  0.2000                   
4              0.7720                   0.3000                   
5              1.8552                   0.1000                   
6              2.8451                   0.1000                   
8              4.4968                   0.0300                   
10             5.7305                   0.0250                   
12             6.4207                   0.0200                   
16             6.9928                   0.0150                   
24             7.0869                   0.0150                   
32             7.0154                   0.0100                   
40             6.9473                   0.0100                   
60             6.7938                   0.0075                   
80             6.6625                   0.0075                   
100            6.5144                   0.0075                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              -6.5896                  0.0150                   
2              -2.3169                  0.0300                   
3              -0.9805                  0.0300                   
4              0.7625                   0.1000                   
5              1.8591                   0.0300                   
6              2.8419                   0.0250                   
8              4.4898                   0.0200                   
10             5.6347                   0.0150                   
12             6.2719                   0.0100                   
16             6.7830                   0.0100                   
24             6.8367                   0.0150                   
32             6.7750                   0.0150                   
40             6.7013                   0.0150                   
60             6.5093                   0.0200                   
80             6.4044                   0.0200                   
100            6.2888                   0.0200                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              -6.5837                  0.9980                   
2              -2.2291                  0.9950                   
3              -0.8854                  0.9980                   
4              1.1262                   0.9980                   
5              2.3053                   0.9985                   
6              3.4688                   0.9992                   
8              5.1685                   0.9995                   
10             6.2581                   0.9997                   
12             6.9432                   0.9999                   
16             7.5079                   0.9999                   
24             7.6699                   0.9999                   
32             7.6702                   0.9999                   
40             7.6626                   0.9999                   
60             7.6448                   0.9999                   
80             7.6181                   0.9999                   
100            7.5906                   0.9999                   
