--- Absolute Best Parameters ---
Initial SNR: -0.2325 dB

LMS:
Best SNR: 19.6934 dB
SNR Improvment: 19.9260 dB
Filter Order: 2
Optimal mu: 0.5500

NLMS:
Best SNR: 18.8651 dB
SNR Improvment: 19.0977 dB
Filter Order: 1
Optimal mu: 0.0500

RLS:
Best SNR: 19.2249 dB
SNR Improvment: 19.4574 dB
Filter Order: 1
Optimal lambda: 0.9500

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              19.6758                  1.0000                   
2              19.6934                  0.5500                   
3              19.5969                  0.2000                   
4              19.4945                  0.1000                   
5              19.3888                  0.1000                   
6              19.3248                  0.0500                   
7              19.2635                  0.0500                   
8              19.2374                  0.1000                   
9              19.2594                  0.1000                   
10             19.2893                  0.1000                   
11             19.3184                  0.1000                   
12             19.3416                  0.1000                   
13             19.3680                  0.0500                   
14             19.3953                  0.0500                   
15             19.4143                  0.0500                   
16             19.4238                  0.0500                   
17             19.4233                  0.0500                   
18             19.4136                  0.0500                   
19             19.3965                  0.0500                   
20             19.3745                  0.0500                   
21             19.3502                  0.0500                   
22             19.3255                  0.0500                   
23             19.3016                  0.0500                   
24             19.2791                  0.0500                   
25             19.2577                  0.0500                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              18.8651                  0.0500                   
2              18.6068                  0.2500                   
3              18.5172                  0.2500                   
4              18.4070                  0.0000                   
5              18.4070                  0.0000                   
6              18.4070                  0.0000                   
7              18.4070                  0.0000                   
8              18.4070                  0.0000                   
9              18.4070                  0.0000                   
10             18.4070                  0.0000                   
11             18.4070                  0.0000                   
12             18.4070                  0.0000                   
13             18.4070                  0.0000                   
14             18.4070                  0.0000                   
15             18.4070                  0.0000                   
16             18.4070                  0.0000                   
17             18.4070                  0.0000                   
18             18.4070                  0.0000                   
19             18.4070                  0.0000                   
20             18.4070                  0.0000                   
21             18.4070                  0.0000                   
22             18.4070                  0.0000                   
23             18.4070                  0.0000                   
24             18.4070                  0.0000                   
25             18.4070                  0.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              19.2249                  0.9500                   
2              18.9355                  0.9000                   
3              18.5484                  0.9500                   
4              18.4685                  0.9500                   
5              18.5976                  1.0000                   
6              18.5642                  1.0000                   
7              18.6025                  1.0000                   
8              18.5925                  1.0000                   
9              18.5869                  1.0000                   
10             18.5684                  1.0000                   
11             18.5766                  1.0000                   
12             18.5859                  1.0000                   
13             18.5861                  1.0000                   
14             18.6450                  1.0000                   
15             18.5845                  1.0000                   
16             18.6899                  1.0000                   
17             18.6643                  1.0000                   
18             18.6582                  1.0000                   
19             18.6840                  1.0000                   
20             18.6732                  1.0000                   
21             18.6864                  1.0000                   
22             18.6527                  1.0000                   
23             18.6550                  1.0000                   
24             18.7025                  1.0000                   
25             18.6195                  1.0000                   
