--- Absolute Best Parameters ---
Initial SNR: -0.2324 dB

LMS:
Best SNR: -0.1480 dB
SNR Improvment: 0.0844 dB
Filter Order: 3
Optimal mu: 0.6500

NLMS:
Best SNR: 0.2388 dB
SNR Improvment: 0.4712 dB
Filter Order: 3
Optimal mu: 0.0500

RLS:
Best SNR: 0.0212 dB
SNR Improvment: 0.2536 dB
Filter Order: 3
Optimal lambda: 0.8500

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              -0.1789                  1.0000                   
2              -0.1496                  0.9500                   
3              -0.1480                  0.6500                   
4              -0.1518                  0.4500                   
5              -0.1540                  0.3500                   
6              -0.1542                  0.3000                   
7              -0.1569                  0.2500                   
8              -0.1532                  0.2500                   
9              -0.1593                  0.2000                   
10             -0.1569                  0.2000                   
11             -0.1669                  0.1500                   
12             -0.1648                  0.1500                   
13             -0.1626                  0.1500                   
14             -0.1799                  0.1000                   
15             -0.1779                  0.1000                   
16             -0.1759                  0.1000                   
17             -0.1739                  0.1000                   
18             -0.1717                  0.1000                   
19             -0.1696                  0.1000                   
20             -0.1673                  0.1000                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              -0.0200                  1.0000                   
2              0.2195                   0.0500                   
3              0.2388                   0.0500                   
4              0.2257                   0.0500                   
5              0.1956                   0.0500                   
6              0.1599                   0.0500                   
7              0.1234                   0.0500                   
8              0.0891                   0.0500                   
9              0.0582                   0.0500                   
10             0.0313                   0.0500                   
11             0.0084                   0.0500                   
12             -0.0113                  0.0500                   
13             -0.0285                  0.0500                   
14             -0.0367                  0.9000                   
15             -0.0384                  0.8000                   
16             -0.0403                  0.7500                   
17             -0.0427                  0.7500                   
18             -0.0455                  0.7000                   
19             -0.0485                  0.7000                   
20             -0.0517                  0.7000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              -0.0133                  0.1500                   
2              -0.0031                  0.1500                   
3              0.0212                   0.8500                   
4              -0.0139                  0.9000                   
5              -0.3571                  1.0000                   
6              -0.3557                  1.0000                   
7              -0.3556                  1.0000                   
8              -0.3549                  1.0000                   
9              -0.3550                  1.0000                   
10             -0.3538                  1.0000                   
11             -0.3554                  1.0000                   
12             -0.3574                  1.0000                   
13             -0.3526                  1.0000                   
14             -0.3575                  1.0000                   
15             -0.3547                  1.0000                   
16             -0.3536                  1.0000                   
17             -0.3486                  1.0000                   
18             -0.3525                  1.0000                   
19             -0.3495                  1.0000                   
20             -0.3493                  1.0000                   
