--- Absolute Best Parameters ---
Initial SNR: 0.0001 dB

LMS:
Best SNR: 28.9593 dB
SNR Improvment: 28.9592 dB
Filter Length: 60
Optimal mu: 0.0300

NLMS:
Best SNR: 31.4958 dB
SNR Improvment: 31.4957 dB
Filter Length: 4
Optimal mu: 0.0002

RLS:
Best SNR: 25.2912 dB
SNR Improvment: 25.2911 dB
Filter Length: 3
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
3              27.9483                  0.0300                   
4              27.9867                  0.0300                   
5              28.0243                  0.0300                   
6              28.0609                  0.0300                   
8              28.1316                  0.0300                   
10             28.1988                  0.0300                   
12             28.2629                  0.0300                   
16             28.3822                  0.0300                   
24             28.5872                  0.0300                   
32             28.7503                  0.0300                   
40             28.8655                  0.0300                   
60             28.9593                  0.0300                   
80             28.8684                  0.0300                   
100            28.6897                  0.0300                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
3              31.3594                  0.0002                   
4              31.4958                  0.0002                   
5              31.4058                  0.0002                   
6              31.1863                  0.0002                   
8              30.5978                  0.0001                   
10             30.5330                  0.0001                   
12             30.3964                  0.0001                   
16             30.0277                  0.0001                   
24             29.7236                  0.0001                   
32             29.6408                  0.0001                   
40             29.5394                  0.0001                   
60             29.2201                  0.0001                   
80             29.0455                  0.0001                   
100            28.9660                  0.0001                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
3              25.2912                  0.9999                   
4              24.7944                  0.9999                   
5              24.3396                  0.9999                   
6              24.7249                  0.9999                   
8              23.4372                  0.9999                   
10             25.0280                  0.9999                   
12             23.6091                  0.9999                   
16             22.6347                  0.9999                   
24             21.5279                  0.9999                   
32             22.7313                  0.9999                   
40             20.0064                  0.9999                   
60             20.7437                  0.9999                   
80             17.2733                  0.9999                   
100            20.5305                  0.9999                   
