--- Absolute Best Parameters ---
Initial SNR: -1.8543 dB
Initial MSE: 0.0198 dB

LMS:
Best SNR: 8.2090 dB
Best MSE: 0.0138 dB
SNR Improvment: 10.0633 dB
MSE Improvment: 0.0060 
Filter Length: 3
Optimal mu: 0.00010000

NLMS:
Best SNR: 8.2108 dB
Best MSE: 0.0138 dB
SNR Improvment: 10.0651 dB
MSE Improvment: 0.0060 
Filter Length: 80
Optimal mu: 0.00001000

RLS:
Best SNR: 7.9785 dB
Best MSE: 0.0137 dB
SNR Improvment: 9.8328 dB
MSE Improvment: 0.0061 
Filter Length: 3
Optimal lambda: 0.99990000

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
3              8.2090                   0.0001                   
4              8.2081                   0.0001                   
5              8.2072                   0.0001                   
6              8.2061                   0.0001                   
8              8.2038                   0.0001                   
10             8.2012                   0.0001                   
12             8.1984                   0.0001                   
16             8.1923                   0.0001                   
24             8.1796                   0.0001                   
32             8.1675                   0.0001                   
40             8.1566                   0.0001                   
60             8.1334                   0.0001                   
80             8.1107                   0.0001                   
100            8.0783                   0.0001                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
3              8.2095                   0.0000                   
4              8.2092                   0.0000                   
5              8.2089                   0.0000                   
6              8.2086                   0.0000                   
8              8.2081                   0.0000                   
10             8.2077                   0.0000                   
12             8.2074                   0.0000                   
16             8.2069                   0.0000                   
24             8.2066                   0.0000                   
32             8.2068                   0.0000                   
40             8.2074                   0.0000                   
60             8.2094                   0.0000                   
80             8.2108                   0.0000                   
100            8.2104                   0.0000                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
3              7.9785                   0.9999                   
4              7.9732                   0.9999                   
5              7.9660                   0.9999                   
6              7.9568                   0.9999                   
8              7.9224                   0.9999                   
10             7.8999                   0.9999                   
12             7.8815                   0.9999                   
16             7.8477                   0.9999                   
24             7.7972                   0.9999                   
32             7.7602                   0.9999                   
40             7.7467                   0.9999                   
60             7.6945                   0.9999                   
80             7.6444                   0.9999                   
100            7.5800                   0.9999                   
