--- Absolute Best Parameters ---
Initial SNR: -9.2980 dB
Initial MSE: 0.0239 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 17.8150 dB
Best MSE: 0.0028 dB
SNR Improvment: 27.1130 dB
MSE Improvment: 0.0210 
Filter Length: 1
Optimal mu: 0.2000

NLMS:
Best SNR: 18.2781 dB
Best MSE: 0.0028 dB
SNR Improvment: 27.5762 dB
MSE Improvment: 0.0210 
Filter Length: 1
Optimal mu: 0.0250

RLS:
Best SNR: 38.3709 dB
Best MSE: 0.0028 dB
SNR Improvment: 47.6689 dB
MSE Improvment: 0.0211 
Filter Length: 1
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              17.8150                  0.2000                   
2              15.8784                  0.1000                   
3              15.2456                  0.1000                   
4              14.5814                  0.1000                   
5              14.0192                  0.1000                   
6              13.5290                  0.1000                   
8              12.7263                  0.1000                   
10             12.1342                  0.1000                   
12             11.6962                  0.1000                   
16             11.4620                  0.0300                   
24             11.1241                  0.0300                   
32             10.8123                  0.0300                   
40             10.4711                  0.0300                   
60             9.7991                   0.0300                   
80             9.3692                   0.0250                   
100            8.9091                   0.0200                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              18.2781                  0.0250                   
2              16.3846                  0.0250                   
3              15.4158                  0.0200                   
4              14.6989                  0.0200                   
5              14.1145                  0.0200                   
6              13.6450                  0.0200                   
8              12.8556                  0.0200                   
10             12.2797                  0.0200                   
12             11.8383                  0.0250                   
16             11.2224                  0.0250                   
24             10.1420                  0.0250                   
32             9.5841                   0.0300                   
40             9.1417                   0.0300                   
60             8.5430                   0.0300                   
80             8.2609                   0.0300                   
100            7.5642                   0.0300                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              38.3709                  0.9999                   
2              38.3672                  0.9999                   
3              37.9033                  0.9999                   
4              37.3823                  0.9999                   
5              37.0117                  0.9999                   
6              36.7957                  0.9999                   
8              36.4413                  0.9999                   
10             36.0729                  0.9999                   
12             35.8306                  0.9999                   
16             35.2483                  0.9999                   
24             33.9482                  0.9999                   
32             32.5984                  0.9999                   
40             31.5762                  0.9999                   
60             28.1713                  0.9999                   
80             26.6765                  0.9999                   
100            25.3716                  0.9999                   
