--- Absolute Best Parameters ---
Initial SNR: -8.8182 dB
Initial MSE: 0.0214 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 13.9755 dB
Best MSE: 0.0028 dB
SNR Improvment: 22.7937 dB
MSE Improvment: 0.0186 
Filter Length: 1
Optimal mu: 0.1000

NLMS:
Best SNR: 14.0150 dB
Best MSE: 0.0028 dB
SNR Improvment: 22.8332 dB
MSE Improvment: 0.0185 
Filter Length: 1
Optimal mu: 0.0100

RLS:
Best SNR: 26.2265 dB
Best MSE: 0.0028 dB
SNR Improvment: 35.0447 dB
MSE Improvment: 0.0186 
Filter Length: 1
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              13.9755                  0.1000                   
2              13.3123                  0.0300                   
3              12.9688                  0.0300                   
4              12.3497                  0.0250                   
5              11.8504                  0.0200                   
6              11.4746                  0.0200                   
8              10.8829                  0.0200                   
10             10.5018                  0.0150                   
12             10.1745                  0.0150                   
16             9.6728                   0.0100                   
24             9.0104                   0.0100                   
32             8.5356                   0.0075                   
40             8.0853                   0.0050                   
60             7.3229                   0.0050                   
80             6.6415                   0.0050                   
100            6.4045                   0.0020                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              14.0150                  0.0100                   
2              13.6654                  0.0075                   
3              13.0315                  0.0050                   
4              12.4646                  0.0050                   
5              12.0324                  0.0050                   
6              11.7065                  0.0050                   
8              11.2446                  0.0050                   
10             10.9213                  0.0050                   
12             10.6804                  0.0050                   
16             10.3402                  0.0050                   
24             9.8646                   0.0050                   
32             9.4172                   0.0050                   
40             8.9109                   0.0050                   
60             7.5130                   0.0050                   
80             6.7068                   0.0020                   
100            6.3699                   0.0020                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              26.2265                  0.9999                   
2              26.0303                  0.9999                   
3              25.9866                  0.9999                   
4              25.8388                  0.9999                   
5              25.7923                  0.9999                   
6              25.6894                  0.9999                   
8              25.5462                  0.9999                   
10             25.3418                  0.9999                   
12             25.2837                  0.9999                   
16             24.9665                  0.9999                   
24             24.2721                  0.9999                   
32             23.6384                  0.9999                   
40             22.8547                  0.9999                   
60             21.1580                  0.9999                   
80             20.5677                  0.9999                   
100            20.1829                  0.9999                   
