--- Absolute Best Parameters ---
Initial SNR: -8.9011 dB
Initial MSE: 0.0218 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 24.1021 dB
Best MSE: 0.0028 dB
SNR Improvment: 33.0033 dB
MSE Improvment: 0.0189 
Filter Length: 1
Optimal mu: 0.7000

NLMS:
Best SNR: 24.8095 dB
Best MSE: 0.0028 dB
SNR Improvment: 33.7107 dB
MSE Improvment: 0.0189 
Filter Length: 1
Optimal mu: 0.1000

RLS:
Best SNR: 46.2584 dB
Best MSE: 0.0028 dB
SNR Improvment: 55.1595 dB
MSE Improvment: 0.0190 
Filter Length: 2
Optimal lambda: 0.9997

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              24.1021                  0.7000                   
2              22.3829                  0.5000                   
3              21.5469                  0.4000                   
4              21.0380                  0.4000                   
5              20.6739                  0.3000                   
6              20.4748                  0.3000                   
8              20.2224                  0.3000                   
10             20.1331                  0.3000                   
12             20.0256                  0.3000                   
16             19.4873                  0.3000                   
24             18.5459                  0.2000                   
32             17.9465                  0.2000                   
40             17.0627                  0.2000                   
60             16.0359                  0.1000                   
80             15.3242                  0.1000                   
100            14.5187                  0.1000                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              24.8095                  0.1000                   
2              22.8905                  0.1000                   
3              21.7290                  0.1000                   
4              20.9974                  0.1000                   
5              20.5721                  0.1000                   
6              20.1710                  0.1000                   
8              19.5899                  0.1000                   
10             19.1829                  0.1000                   
12             19.1255                  0.1000                   
16             19.2350                  0.1000                   
24             18.4781                  0.1000                   
32             18.3169                  0.1000                   
40             17.2161                  0.1000                   
60             15.9397                  0.2000                   
80             14.6202                  0.2000                   
100            13.9376                  0.2000                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              45.9831                  0.9997                   
2              46.2584                  0.9997                   
3              45.5507                  0.9997                   
4              45.2896                  0.9999                   
5              45.2465                  0.9999                   
6              45.1626                  0.9999                   
8              44.9720                  0.9999                   
10             44.7814                  0.9999                   
12             44.6154                  0.9999                   
16             44.1073                  0.9999                   
24             42.6784                  0.9999                   
32             38.4735                  0.9999                   
40             33.8915                  0.9999                   
60             30.6090                  0.9999                   
80             28.9486                  0.9999                   
100            27.8646                  0.9999                   
