--- Absolute Best Parameters ---
Initial SNR: -0.2283 dB
Initial MSE: 0.0030 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 26.7973 dB
Best MSE: 0.0028 dB
SNR Improvment: 27.0255 dB
MSE Improvment: 0.0001 
Filter Length: 1
Optimal mu: 0.9000

NLMS:
Best SNR: 35.0002 dB
Best MSE: 0.0028 dB
SNR Improvment: 35.2285 dB
MSE Improvment: 0.0001 
Filter Length: 1
Optimal mu: 0.9000

RLS:
Best SNR: 41.4302 dB
Best MSE: 0.0028 dB
SNR Improvment: 41.6585 dB
MSE Improvment: 0.0002 
Filter Length: 1
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              26.7973                  0.9000                   
2              26.7891                  0.9000                   
3              26.7867                  0.9000                   
4              26.7778                  0.9000                   
5              26.7657                  0.9000                   
6              26.7511                  0.9000                   
8              26.7231                  0.9000                   
10             26.6927                  0.9000                   
12             26.6571                  0.9000                   
16             26.5795                  0.9000                   
24             26.4073                  0.9000                   
32             26.2081                  0.9000                   
40             26.0494                  0.9000                   
60             25.6356                  0.9000                   
80             25.2589                  0.9000                   
100            24.8352                  0.9000                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              35.0002                  0.9000                   
2              33.5449                  0.7000                   
3              32.6717                  0.6000                   
4              32.0484                  0.5000                   
5              31.5303                  0.5000                   
6              31.1232                  0.4000                   
8              30.4191                  0.4000                   
10             29.8866                  0.3000                   
12             29.4563                  0.3000                   
16             28.6907                  0.3000                   
24             27.7264                  0.2000                   
32             27.1056                  0.2000                   
40             26.6176                  0.2000                   
60             25.7656                  0.2000                   
80             25.1818                  0.2000                   
100            24.5318                  0.2000                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              41.4302                  0.9999                   
2              40.6850                  0.9999                   
3              39.8168                  0.9999                   
4              39.2265                  0.9999                   
5              38.3328                  0.9999                   
6              37.5162                  0.9999                   
8              36.1635                  0.9999                   
10             35.6366                  0.9999                   
12             35.0764                  0.9999                   
16             33.9890                  0.9999                   
24             31.8478                  0.9999                   
32             29.5719                  0.9999                   
40             28.4209                  0.9999                   
60             27.1301                  0.9999                   
80             25.1181                  0.9999                   
100            23.9353                  0.9999                   
