--- Absolute Best Parameters ---
Initial SNR: -2.8362 dB
Initial MSE: 0.0054 dB
Freq of recordings: 16000.0000 Hz

LMS:
Best SNR: 24.8073 dB
Best MSE: 0.0028 dB
SNR Improvment: 27.6435 dB
MSE Improvment: 0.0026 
Filter Length: 1
Optimal mu: 0.9000

NLMS:
Best SNR: 24.9331 dB
Best MSE: 0.0028 dB
SNR Improvment: 27.7693 dB
MSE Improvment: 0.0026 
Filter Length: 1
Optimal mu: 0.1000

RLS:
Best SNR: 37.4381 dB
Best MSE: 0.0028 dB
SNR Improvment: 40.2743 dB
MSE Improvment: 0.0026 
Filter Length: 1
Optimal lambda: 0.9999

---------------------------------
Filter Length  Best SNR (LMS)           Optimal mu (LMS)         
1              24.8073                  0.9000                   
2              23.1504                  0.7000                   
3              22.2761                  0.5000                   
4              21.6835                  0.5000                   
5              21.2990                  0.4000                   
6              21.0156                  0.4000                   
8              20.5696                  0.4000                   
10             20.2467                  0.3000                   
12             19.9285                  0.3000                   
16             19.2869                  0.3000                   
24             18.4623                  0.2000                   
32             17.9385                  0.2000                   
40             17.4459                  0.2000                   
60             16.6462                  0.2000                   
80             16.3804                  0.1000                   
100            16.1890                  0.1000                   

Filter Length  Best SNR (NLMS)          Optimal mu (NLMS)        
1              24.9331                  0.1000                   
2              23.2746                  0.1000                   
3              22.1843                  0.1000                   
4              21.4107                  0.1000                   
5              20.8890                  0.0300                   
6              20.7382                  0.0300                   
8              20.4725                  0.0300                   
10             20.2136                  0.0300                   
12             19.9428                  0.0300                   
16             19.4578                  0.0300                   
24             18.8040                  0.0300                   
32             18.2372                  0.0300                   
40             17.7509                  0.0300                   
60             16.8504                  0.0300                   
80             16.1636                  0.0300                   
100            15.7652                  0.0300                   

Filter Length  Best SNR (RLS)           Optimal lambda (RLS)     
1              37.4381                  0.9999                   
2              37.2756                  0.9999                   
3              36.7075                  0.9999                   
4              36.0665                  0.9999                   
5              35.4586                  0.9999                   
6              35.0674                  0.9999                   
8              34.0373                  0.9999                   
10             33.0832                  0.9999                   
12             32.4740                  0.9999                   
16             31.5625                  0.9999                   
24             29.9798                  0.9999                   
32             28.8155                  0.9999                   
40             28.0457                  0.9999                   
60             26.4313                  0.9999                   
80             25.7499                  0.9999                   
100            25.0383                  0.9999                   
