--- Absolute Best Parameters ---
Initial SNR: -0.0055 dB

LMS:
Best SNR: 31.1031 dB
SNR Improvment: 31.1086 dB
Filter Order: 22
Optimal mu: 1.0000

NLMS:
Best SNR: 53.3285 dB
SNR Improvment: 53.3340 dB
Filter Order: 25
Optimal mu: 1.0000

RLS:
Best SNR: 97.6890 dB
SNR Improvment: 97.6944 dB
Filter Order: 3
Optimal lambda: 0.0500

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              29.0894                  1.0000                   
2              29.3806                  1.0000                   
3              29.5913                  1.0000                   
4              29.7533                  1.0000                   
5              29.8857                  1.0000                   
6              29.9992                  1.0000                   
7              30.1001                  1.0000                   
8              30.1920                  1.0000                   
9              30.2775                  1.0000                   
10             30.3579                  1.0000                   
11             30.4342                  1.0000                   
12             30.5070                  1.0000                   
13             30.5768                  1.0000                   
14             30.6436                  1.0000                   
15             30.7079                  1.0000                   
16             30.7698                  1.0000                   
17             30.8295                  1.0000                   
18             30.8872                  1.0000                   
19             30.9434                  1.0000                   
20             30.9980                  1.0000                   
21             31.0514                  1.0000                   
22             31.1031                  1.0000                   
23             31.1025                  0.9500                   
24             31.0971                  0.9000                   
25             31.1030                  0.9000                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              39.2063                  1.0000                   
2              40.2976                  1.0000                   
3              41.0524                  1.0000                   
4              41.7432                  1.0000                   
5              42.4408                  1.0000                   
6              43.1466                  1.0000                   
7              43.8420                  1.0000                   
8              44.5169                  1.0000                   
9              45.1700                  1.0000                   
10             45.8018                  1.0000                   
11             46.4138                  1.0000                   
12             47.0078                  1.0000                   
13             47.5847                  1.0000                   
14             48.1435                  1.0000                   
15             48.6829                  1.0000                   
16             49.2028                  1.0000                   
17             49.7046                  1.0000                   
18             50.1907                  1.0000                   
19             50.6634                  1.0000                   
20             51.1252                  1.0000                   
21             51.5782                  1.0000                   
22             52.0242                  1.0000                   
23             52.4642                  1.0000                   
24             52.8987                  1.0000                   
25             53.3285                  1.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              55.0669                  0.0500                   
2              91.6867                  0.0500                   
3              97.6890                  0.0500                   
4              94.5025                  0.2000                   
5              68.3505                  0.5000                   
6              35.4976                  0.8000                   
7              28.6498                  1.0000                   
8              28.6499                  1.0000                   
9              28.6502                  1.0000                   
10             28.6503                  1.0000                   
11             28.6503                  1.0000                   
12             28.6506                  1.0000                   
13             28.6504                  1.0000                   
14             28.6504                  1.0000                   
15             28.6510                  1.0000                   
16             28.6505                  1.0000                   
17             28.6514                  1.0000                   
18             28.6518                  1.0000                   
19             28.6522                  1.0000                   
20             28.6525                  1.0000                   
21             28.6537                  1.0000                   
22             28.6526                  1.0000                   
23             28.6542                  1.0000                   
24             28.6542                  1.0000                   
25             28.6549                  1.0000                   
