--- Absolute Best Parameters ---
Initial SNR: -2.6282 dB

LMS:
Best SNR: 6.8008 dB
SNR Improvment: 9.4290 dB
Filter Order: 1
Optimal mu: 0.0000

NLMS:
Best SNR: 6.8008 dB
SNR Improvment: 9.4290 dB
Filter Order: 1
Optimal mu: 0.0000

RLS:
Best SNR: 7.0264 dB
SNR Improvment: 9.6546 dB
Filter Order: 2
Optimal lambda: 1.0000

---------------------------------
Filter Order   Best SNR (LMS)           Optimal mu (LMS)         
1              6.8008                   0.0000                   
2              6.8008                   0.0000                   
3              6.8008                   0.0000                   
4              6.8008                   0.0000                   
5              6.8008                   0.0000                   
6              6.8008                   0.0000                   
7              6.8008                   0.0000                   
8              6.8008                   0.0000                   
9              6.8008                   0.0000                   
10             6.8008                   0.0000                   
11             6.8008                   0.0000                   
12             6.8008                   0.0000                   
13             6.8008                   0.0000                   
14             6.8008                   0.0000                   
15             6.8008                   0.0000                   
16             6.8008                   0.0000                   
17             6.8008                   0.0000                   
18             6.8008                   0.0000                   
19             6.8008                   0.0000                   
20             6.8008                   0.0000                   
21             6.8008                   0.0000                   
22             6.8008                   0.0000                   
23             6.8008                   0.0000                   
24             6.8008                   0.0000                   
25             6.8008                   0.0000                   

Filter Order   Best SNR (NLMS)          Optimal mu (NLMS)        
1              6.8008                   0.0000                   
2              6.8008                   0.0000                   
3              6.8008                   0.0000                   
4              6.8008                   0.0000                   
5              6.8008                   0.0000                   
6              6.8008                   0.0000                   
7              6.8008                   0.0000                   
8              6.8008                   0.0000                   
9              6.8008                   0.0000                   
10             6.8008                   0.0000                   
11             6.8008                   0.0000                   
12             6.8008                   0.0000                   
13             6.8008                   0.0000                   
14             6.8008                   0.0000                   
15             6.8008                   0.0000                   
16             6.8008                   0.0000                   
17             6.8008                   0.0000                   
18             6.8008                   0.0000                   
19             6.8008                   0.0000                   
20             6.8008                   0.0000                   
21             6.8008                   0.0000                   
22             6.8008                   0.0000                   
23             6.8008                   0.0000                   
24             6.8008                   0.0000                   
25             6.8008                   0.0000                   

Filter Order   Best SNR (RLS)           Optimal lambda (RLS)     
1              7.0141                   1.0000                   
2              7.0264                   1.0000                   
3              7.0205                   1.0000                   
4              7.0105                   1.0000                   
5              7.0110                   1.0000                   
6              7.0141                   1.0000                   
7              7.0060                   1.0000                   
8              7.0171                   1.0000                   
9              7.0155                   1.0000                   
10             7.0070                   1.0000                   
11             7.0057                   1.0000                   
12             7.0057                   1.0000                   
13             6.9834                   1.0000                   
14             7.0023                   1.0000                   
15             6.9758                   1.0000                   
16             6.9737                   1.0000                   
17             6.9621                   1.0000                   
18             6.9582                   1.0000                   
19             6.9537                   1.0000                   
20             6.9266                   1.0000                   
21             6.9297                   1.0000                   
22             6.9155                   1.0000                   
23             6.9367                   1.0000                   
24             6.9262                   1.0000                   
25             6.9037                   1.0000                   
